fyDeclared,Chemical,Coastal Storm,Dam/Levee Break,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,Human Cause,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm(s),Snow,Terrorist,Tornado,Toxic Substances,Tsunami,Typhoon,Volcano
1953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
1964,0.0,0.0,1.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,51.0,6.0,0.0,0.0,311.0,0.0,0.0,57.0,0.0,0.0,0.0,6.0,1.0,0.0,112.0,0.0,0.0,1.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,10.0,0.0,119.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,8.0,0.0,118.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,1.0,3.0,0.0,170.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0
1972,0.0,15.0,0.0,0.0,0.0,0.0,16.0,433.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,1.0,0.0,1.0,9.0,0.0,561.0,0.0,0.0,0.0,2.0,0.0,0.0,235.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,31.0,0.0,3.0,0.0,378.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0
1975,0.0,1.0,0.0,0.0,0.0,1.0,0.0,415.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,318.0,1.0,8.0,0.0,142.0,0.0,0.0,3.0,0.0,0.0,27.0,50.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0
1977,0.0,0.0,0.0,688.0,0.0,6.0,0.0,115.0,80.0,0.0,0.0,0.0,0.0,10.0,0.0,290.0,0.0,7.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,2.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,200.0,0.0,22.0,1.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,8.0,0.0,244.0,0.0,0.0,107.0,0.0,0.0,0.0,71.0,27.0,0.0,52.0,0.0,0.0,0.0,0.0
1980,0.0,3.0,0.0,0.0,1.0,2.0,8.0,88.0,0.0,4.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,16.0,1.0,0.0,0.0,47.0
1981,0.0,0.0,0.0,21.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
1983,0.0,40.0,0.0,0.0,1.0,2.0,0.0,82.0,0.0,0.0,9.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1984,0.0,0.0,0.0,0.0,3.0,4.0,0.0,156.0,11.0,0.0,6.0,0.0,0.0,0.0,43.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,15.0,0.0,80.0,20.0,0.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,1.0,0.0,298.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,7.0,0.0,179.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
1988,0.0,0.0,0.0,0.0,2.0,11.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,0.0,0.0,7.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,190.0,12.0,0.0,116.0,0.0,0.0,0.0,89.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,12.0,8.0,0.0,155.0,42.0,0.0,5.0,0.0,0.0,10.0,347.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0
1991,0.0,0.0,0.0,0.0,0.0,2.0,0.0,287.0,33.0,0.0,36.0,0.0,0.0,26.0,102.0,18.0,0.0,12.0,0.0,0.0,5.0,0.0
1992,0.0,13.0,0.0,2.0,3.0,17.0,0.0,189.0,0.0,0.0,51.0,0.0,0.0,56.0,93.0,0.0,0.0,9.0,2.0,0.0,16.0,0.0
1993,0.0,10.0,0.0,149.0,4.0,7.0,0.0,525.0,0.0,1.0,1.0,0.0,0.0,0.0,207.0,771.0,0.0,87.0,0.0,0.0,11.0,0.0
1994,0.0,0.0,0.0,0.0,4.0,26.0,18.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,336.0,181.0,0.0,67.0,0.0,0.0,0.0,0.0
1995,0.0,1.0,0.0,0.0,0.0,4.0,0.0,92.0,0.0,2.0,24.0,0.0,0.0,0.0,325.0,21.0,0.0,66.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,143.0,0.0,416.0,0.0,0.0,343.0,0.0,0.0,0.0,258.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,7.0,0.0,303.0,0.0,0.0,0.0,0.0,3.0,3.0,590.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0
1998,0.0,3.0,0.0,28.0,0.0,123.0,0.0,116.0,0.0,0.0,261.0,0.0,2.0,0.0,916.0,23.0,0.0,27.0,0.0,0.0,5.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,366.0,0.0,104.0,8.0,0.0,386.0,1.0,0.0,43.0,274.0,156.0,0.0,29.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,1.0,236.0,0.0,36.0,0.0,0.0,140.0,0.0,0.0,0.0,468.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0
2001,0.0,69.0,0.0,0.0,24.0,162.0,0.0,176.0,49.0,0.0,0.0,0.0,82.0,277.0,375.0,148.0,1.0,9.0,0.0,0.0,0.0,0.0
2002,0.0,11.0,0.0,0.0,7.0,192.0,0.0,78.0,0.0,0.0,27.0,0.0,0.0,123.0,416.0,7.0,0.0,90.0,0.0,0.0,5.0,0.0
2003,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,11.0,0.0,252.0,0.0,192.0,108.0,905.0,125.0,0.0,15.0,0.0,0.0,5.0,0.0
2004,0.0,0.0,1.0,0.0,2.0,71.0,0.0,5.0,0.0,0.0,616.0,0.0,0.0,26.0,1102.0,59.0,0.0,0.0,0.0,0.0,12.0,0.0
2005,0.0,287.0,0.0,0.0,0.0,34.0,0.0,11.0,0.0,0.0,3715.0,0.0,0.0,0.0,382.0,226.0,0.0,1.0,0.0,0.0,5.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,438.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,7.0,483.0,27.0,0.0,2.0,0.0,0.0,3.0,0.0
2007,0.0,0.0,0.0,1.0,4.0,77.0,0.0,4.0,16.0,0.0,32.0,0.0,1.0,134.0,930.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,321.0,0.0,33.0,0.0,0.0,569.0,0.0,0.0,316.0,1172.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,5.0,71.0,0.0,33.0,0.0,0.0,9.0,0.0,1.0,392.0,893.0,21.0,0.0,5.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,1.0,25.0,0.0,195.0,0.0,0.0,91.0,0.0,4.0,50.0,1053.0,205.0,0.0,13.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,332.0,0.0,454.0,0.0,0.0,546.0,0.0,0.0,0.0,1232.0,106.0,0.0,5.0,0.0,9.0,0.0,0.0
2012,0.0,8.0,0.0,0.0,11.0,69.0,0.0,30.0,0.0,0.0,183.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,39.0,0.0,203.0,1.0,0.0,573.0,1.0,2.0,8.0,325.0,23.0,4.0,21.0,0.0,0.0,0.0,0.0
2014,9.0,0.0,0.0,0.0,2.0,41.0,0.0,148.0,0.0,0.0,0.0,5.0,0.0,251.0,288.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,62.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,61.0,548.0,54.0,0.0,1.0,0.0,0.0,4.0,1.0
2016,0.0,1.0,0.0,0.0,0.0,52.0,0.0,400.0,0.0,0.0,26.0,0.0,0.0,21.0,393.0,74.0,0.0,1.0,1.0,0.0,0.0,0.0
2017,0.0,0.0,3.0,0.0,0.0,90.0,0.0,220.0,0.0,0.0,1214.0,1.0,0.0,20.0,257.0,55.0,0.0,45.0,0.0,0.0,0.0,0.0
2018,0.0,3.0,0.0,0.0,0.0,105.0,0.0,185.0,0.0,0.0,522.0,21.0,0.0,0.0,121.0,39.0,0.0,2.0,0.0,0.0,7.0,1.0
2019,0.0,42.0,0.0,0.0,8.0,24.0,0.0,648.0,0.0,0.0,619.0,0.0,0.0,0.0,554.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,42.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
